Names,Players,Year,Month,Day,Age_2008
A Ashish Reddy,All_Rounder,1991,February,24,17
A Badoni,Batter,1999,December,3,9
A Chandila,All_Rounder,1983,December,5,25
A Chopra,Batter,1977,September,19,31
A Choudhary,Bowler,1996,July,6,12
A Dananjaya,Bowler,1991,September,6,17
A Flintoff,All_Rounder,1977,December,6,31
A Kumble,Bowler,1970,October,17,38
A Manohar,Batter,1994,September,16,14
A Mishra,Bowler,1982,November,24,26
A Mithun,Bowler,1989,October,25,19
A Mukund,Batter,1990,January,6,18
A Nehra,Bowler,1979,April,29,29
A Nel,Bowler,1977,July,15,31
A Nortje,Bowler,1993,November,16,15
A Singh,Bowler,1999,February,5,9
A Symonds,All_Rounder,1975,June,9,33
A Tomar,Batter,1995,March,14,13
A Uniyal,All_Rounder,1981,November,21,27
A Zampa,Bowler,1992,March,31,16
AA Bilakhia,Batter,1986,May,31,22
AA Chavan,All_Rounder,1985,October,28,23
AA Jhunjhunwala,All_Rounder,1982,December,1,26
AA Kazi,Bowler,1989,September,29,19
AA Noffke,Bowler,1977,April,30,31
AB Agarkar,Bowler,1977,December,4,31
AB Barath,Batter,1990,April,14,18
AB de Villiers,Batter,1984,February,17,24
AB Dinda,Bowler,1984,March,25,24
AB McDonald,All_Rounder,1981,June,5,27
Abdul Samad,All_Rounder,2001,December,28,7
Abdur Razzak,Batter,1982,June,15,26
Abhishek Sharma,All_Rounder,2000,September,4,8
AC Blizzard,Batter,1984,June,27,24
AC Gilchrist,Batter,1971,November,14,37
AC Thomas,Bowler,1977,February,9,31
AC Voges,Batter,1979,October,4,29
AD Hales,Batter,1989,January,3,19
AD Mascarenhas,All_Rounder,1977,October,30,31
AD Mathews,All_Rounder,1987,June,2,21
AD Nath,Batter,1993,May,10,15
AD Russell,All_Rounder,1988,April,29,20
AF Milne,Bowler,1992,April,13,16
AG Murtaza,Bowler,1990,January,1,18
AG Paunikar,Batter,1988,April,18,20
AJ Finch,Batter,1986,November,17,22
AJ Turner,Batter,1993,January,25,15
AJ Tye,Bowler,1986,December,12,22
AK Markram,All_Rounder,1994,October,4,14
Akash Deep,Bowler,1996,December,15,12
Akash Singh,Bowler,2002,April,26,6
AL Menaria,All_Rounder,1990,October,29,18
AM Nayar,All_Rounder,1983,October,8,25
AM Rahane,Batter,1988,June,6,20
AM Salvi,Bowler,1981,October,20,27
Aman Hakim Khan,Bowler,1996,November,23,12
AN Ahmed,Bowler,1994,August,13,14
AN Ghosh,Batter,1986,October,19,22
Anand Rajan,Bowler,1987,April,17,21
Anirudh Singh,Batter,1980,August,2,28
Ankit Sharma,Bowler,1991,April,20,17
Ankit Soni,Bowler,1993,August,2,15
Anmolpreet Singh,Batter,1998,Mar,28,10
Anuj Rawat,Batter,1999,October,17,9
Anureet Singh,Bowler,1988,March,2,20
AP Dole,Bowler,1987,October,9,21
AP Majumdar,Batter,1984,April,30,24
AP Tare,Batter,1987,November,7,21
AR Bawne,Batter,1992,December,17,16
AR Patel,Bowler,1994,January,20,14
Arshdeep Singh,Bowler,1999,February,5,9
AS Joseph,Bowler,1996,November,20,12
AS Rajpoot,Bowler,1993,December,4,15
AS Raut,Batter,1989,October,14,19
AS Roy,Bowler,1990,July,21,18
AS Yadav,Bowler,1990,September,14,18
AT Rayudu,Batter,1985,September,23,23
AU Rashid,Bowler,1988,February,17,20
AUK Pathan,Batter,1984,June,17,24
Avesh Khan,Bowler,1996,December,13,12
Azhar Mahmood,All_Rounder,1975,February,28,33
B Akhil,All_Rounder,1977,October,7,31
B Chipli,Batter,1983,January,27,25
B Geeves,Bowler,1982,June,13,26
B Indrajith,Batter,1994,July,8,14
B Kumar,Bowler,1990,February,5,18
B Laughlin,Bowler,1982,October,3,26
B Lee,Bowler,1976,November,8,32
B Sai Sudharsan,Batter,2001,October,15,7
B Stanlake,Bowler,1994,November,4,14
B Sumanth,Batter,1988,May,10,20
BA Bhatt,Bowler,1990,May,13,18
BA Stokes,All_Rounder,1991,June,4,17
Basil Thampi,Bowler,1993,September,11,15
BAW Mendis,All_Rounder,1985,March,11,23
BB McCullum,Batter,1981,September,27,27
BB Samantray,Batter,1988,December,14,20
BB Sran,Bowler,1992,December,10,16
BCJ Cutting,All_Rounder,1987,January,30,21
BE Hendricks,All_Rounder,1989,August,15,19
Bipul Sharma,All_Rounder,1983,September,28,25
BJ Haddin,Batter,1977,October,23,31
BJ Hodge,Batter,1974,December,29,34
BJ Rohrer,Batter,1981,March ,26,27
BMAJ Mendis,All_Rounder,1985,March,11,23
BR Dunk,Batter,1987,March,11,21
BW Hilfenhaus,Bowler,1983,March,15,25
C de Grandhomme,All_Rounder,1986,July,22,22
C Ganapathy,Bowler,1981,June,10,27
C Madan,Batter,1982,October,15,26
C Munro,Batter,1987,March,11,21
C Nanda,Bowler,1979,March,29,29
C Sakariya,Bowler,1998,February,28,10
CA Ingram,Batter,1985,July,3,23
CA Lynn,Batter,1990,April,10,18
CA Pujara,Batter,1988,January,25,20
CH Gayle,Batter,1979,September,21,29
CH Morris,All_Rounder,1987,April,30,21
CJ Anderson,Batter,1982,July,30,26
CJ Dala,Bowler,1989,December,29,19
CJ Ferguson,All_Rounder,1984,November,21,24
CJ Jordan,Bowler,1988,October,4,20
CJ McKay,Bowler,1983,February,22,25
CK Kapugedera,Batter,1987,February,24,21
CK Langeveldt,Bowler,1974,December,17,34
CL White,Batter,1983,August,18,25
CM Gautam,Batter,1986,March,8,22
CR Brathwaite,All_Rounder,1988,July,18,20
CR Woakes,All_Rounder,1989,March,2,19
CRD Fernando,Bowler,1979,July,9,29
CV Varun,Bowler,1991,August,29,17
D Brevis,Batter,2003,April,29,5
D du Preez,Bowler,1981,November,8,27
D Kalyankrishna,Batter,1983,December,16,25
D Padikkal,Batter,2000,July,20,8
D Pretorius,Bowler,1989,March,29,19
D Salunkhe,All_Rounder,1982,November,12,26
D Wiese,All_Rounder,1985,May,18,23
DA Miller,Batter,1989,June,10,19
DA Warner,Batter,1986,October,27,22
DAJ Bracewell,Bowler,1990,September,28,18
DB Das,Batter,1986,September,22,22
DB Ravi Teja,Batter,1987,September,5,21
DE Bollinger,Bowler,1981,July,24,27
DG Nalkande,Bowler,1998,October,4,10
DH Yagnik,Batter,1983,June,27,25
DJ Bravo,All_Rounder,1983,October,7,25
DJ Harris,Batter,1979,December,31,29
DJ Hooda,Batter,1995,April,19,13
DJ Hussey,Batter,1977,July,15,31
DJ Jacobs,Batter,1982,November,4,26
DJ Malan,Batter,1987,September,3,21
DJ Mitchell,All_Rounder,1991,May,20,17
DJ Muthuswami,All_Rounder,1981,March,9,27
DJ Thornely,Batter,1978,October,1,30
DJ Willey,Bowler,1990,February,28,18
DJG Sammy,All_Rounder,1983,December,20,25
DJM Short,Batter,1990,August,9,18
DL Chahar,Bowler,1992,August,7,16
