last_name, first_name,player_id,year,player_age,p_formatted_ip,p_strikeout,p_k_percent,p_bb_percent,batting_avg,p_out,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break,n_cukc_formatted,n_sift_formatted,n_fc_formatted,n_fs_formatted,n_fastball_formatted,n_breaking_formatted,n_offspeed_formatted,
Wainwright, Adam,425794,2020,38,65.2,54,20.6,5.7,.221,197,3.15,87.3,12,6.3,23,551,356,930,9.2,89.2,2218,15,,,,,2.5,81.8,1683,15.3,38.3,27.1,22.9,,59.2,38.3,2.5,
Greinke, Zack,425844,2020,36,67.0,67,24.5,3.3,.256,201,4.03,86.8,11.7,8.2,232,433,331,996,43.4,88.1,2327,17.6,17.1,84.5,2422,9.2,23.3,86.2,1668,14,16.2,0.1,,,43.5,33.2,23.3,
Lester, Jon,452657,2020,36,61.0,42,15.8,6.4,.262,183,5.16,88.9,11.9,12.3,126,753,129,1008,29.1,89.4,2223,17,,,,,12.5,83.3,1913,15.1,12.8,15.2,30.5,,74.7,12.8,12.5,
Scherzer, Max,453286,2020,35,67.1,92,31.2,7.8,.260,202,3.74,88.5,18.7,8.4,194,675,344,1213,46,94.7,2472,18.9,19.3,85.5,2384,5.3,16,84.9,1440,15,9.1,,9.6,,55.6,28.4,16,
Cueto, Johnny,456501,2020,34,63.1,56,20.2,9.4,.248,190,5.40,87.9,13,5.7,308,497,332,1137,33.2,91.4,2222,18.4,9.9,84.8,2231,8,27.1,82.5,1333,12.5,19.3,10.5,,,43.7,29.2,27.1,
Lynn, Lance,458681,2020,33,84.0,89,25.9,7.3,.206,252,3.32,88.6,17.5,5.4,14,1265,119,1398,50.1,94,2491,17.1,,,,,1,85,1844,12.9,8.5,18,22.4,,90.5,8.5,1,
Carrasco, Carlos,471911,2020,33,68.0,82,29.3,9.6,.221,204,2.91,88,10.3,8.3,296,435,370,1101,34.7,93.7,2472,17.6,27.1,86,2780,5.7,26.9,87.7,1317,7.6,6.5,4.8,,,39.5,33.6,26.9,
Gibson, Kyle,502043,2020,32,67.1,58,19.3,10.0,.275,202,5.35,88.2,6.2,7.2,203,568,368,1139,13.9,92.4,2261,17.2,24.6,82.9,2475,6.1,17.8,84.4,1652,16.3,7.7,35.6,0.4,,49.9,32.3,17.8,
Darvish, Yu,506433,2020,33,76.0,93,31.3,4.7,.211,228,2.01,88.7,11.9,6.4,103,325,549,1150,15.1,95.9,2582,19.4,36.3,86.1,2792,6.3,,,,,11.5,8.7,4.4,9,28.3,62.8,9,
Perez, Martin,527048,2020,29,62.0,46,17.6,10.7,.240,186,4.50,86.3,14.3,7.6,266,670,97,1033,15.1,92.2,2049,18.6,,,,,25.8,83.7,1704,17.3,9.4,17.7,32,,64.9,9.4,25.8,
Cole, Gerrit,543037,2020,29,73.0,94,32.6,5.9,.197,219,2.84,90.4,16.4,9.1,67,635,501,1203,52.5,96.7,2505,21.7,24.6,88.7,2582,6.8,5.6,88.3,1750,18.9,17,0.2,,,52.8,41.6,5.6,
Hendricks, Kyle,543294,2020,30,81.1,64,20.3,2.5,.240,244,2.88,86.1,11,4.5,326,632,192,1150,21,87.4,1969,16.1,,,,,28.3,79.7,2062,16.7,16.7,33.9,,,55,16.7,28.3,
Bauer, Trevor,545333,2020,29,73.0,100,36.0,6.1,.159,219,1.73,88.5,20.9,6.3,4,793,183,1165,47.4,93.5,2779,22.1,,,,,0.3,85,1731,17.2,15.7,0.3,20.3,,68.1,31.6,0.3,
Ryu, Hyun Jin,547943,2020,33,67.0,72,26.2,6.2,.234,201,2.69,87,9.6,3.2,315,668,149,1132,24.6,89.8,1995,16.7,,,,,27.8,79.6,1478,15,13.2,10,24.4,,59,13.2,27.8,
Wheeler, Zack,554430,2020,30,71.0,53,18.4,5.6,.254,213,2.92,85.7,3.8,3.8,92,705,280,1077,42.9,96.9,2334,15.4,15.9,89.8,2399,5.8,8.5,90.3,1655,16.8,10.1,22.6,,,65.5,26,8.5,
Boyd, Matthew,571510,2020,29,60.1,60,22.1,8.1,.278,181,6.71,87.4,15.4,10.9,187,572,327,1086,50.3,91.7,2304,18.2,22.7,79.3,2324,5.6,17.2,79.1,1882,17.5,7.5,2.4,,,52.7,30.1,17.2,
Corbin, Patrick,571578,2020,30,65.2,60,20.3,6.1,.308,197,4.66,90.7,11.9,6.5,60,556,452,1068,17.2,90.2,2158,17.3,40.3,79.2,2241,4.4,5.6,77.7,1550,15.7,2.1,34.8,,,52.1,42.3,5.6,
Heaney, Andrew,571760,2020,29,66.2,70,25.1,6.8,.246,200,4.46,88.6,16.3,7.4,189,627,269,1085,57.8,91.5,2435,21,,,,,17.4,83,2005,18.3,24.8,,,,57.8,24.8,17.4,
Keuchel, Dallas,572971,2020,32,63.1,42,16.3,6.6,.218,190,1.99,86.8,5.6,4,268,629,63,960,2.3,88.3,2218,13.9,6.6,75.8,2280,9.1,27.9,78.6,1680,15.8,,32.3,30.9,,65.5,6.6,27.9,
deGrom, Jacob,594798,2020,32,68.0,104,38.8,6.7,.190,204,2.38,88.2,11.6,9.6,192,510,433,1135,44.9,98.6,2477,18.2,35.5,92.5,2565,6.5,16.9,91.4,1638,14.5,2.6,,,,44.9,38.1,16.9,
Gonzales, Marco,594835,2020,28,69.2,64,23.1,2.5,.222,209,3.10,86.6,17.6,8.4,151,735,170,1056,45.4,88.2,2154,20.4,,,,,14.3,80.6,2114,19.5,16.1,,24.2,,69.6,16.1,14.3,
Bassitt, Chris,605135,2020,31,63.0,55,21.1,6.5,.233,189,2.29,88.2,12.5,5.9,97,732,100,946,16.7,93.3,2160,16.8,1.2,78.2,2192,9.7,10.3,83.6,1950,19.9,9.4,38.2,22.5,,77.4,12.4,10.3,
Bundy, Dylan,605164,2020,27,65.2,72,27.0,6.4,.208,197,3.29,87,14.5,4.6,217,427,374,1018,33.6,90,2424,19.7,25,79.9,2538,5,21.3,82.2,1620,15.7,11.7,8.3,,,41.9,36.7,21.3,
Davies, Zach,605200,2020,27,69.1,63,22.8,6.9,.216,208,2.73,87.5,14.6,10.3,436,589,30,1055,,,,,,,,,41.3,79.4,1728,16.7,2.8,41.8,14,,55.8,2.8,41.3,
Nola, Aaron,605400,2020,27,71.1,96,33.2,8.0,.205,214,3.28,88.3,8.6,5.4,314,528,306,1148,24.4,92.8,2180,19.6,,,,,27.4,84.9,1518,15,26.7,21.6,,,46,26.7,27.4,
Woodruff, Brandon,605540,2020,27,73.2,91,31.1,6.1,.204,221,3.05,86.7,13.3,7.2,212,789,210,1211,34.5,96.6,2457,18.5,10.9,88.2,2525,3.9,17.5,86.7,1817,18.1,6.4,30.6,,,65.2,17.3,17.5,
Freeland, Kyle,607536,2020,27,70.2,46,15.1,7.6,.278,212,4.33,87.3,7.4,5.6,270,376,478,1124,21.3,92.1,2436,15.8,23.7,86.2,2469,5.1,24,86,1375,12.3,18.9,12.2,,,33.5,42.5,24,
Giolito, Lucas,608337,2020,25,72.1,97,33.7,9.7,.184,217,3.48,87,15.2,5.6,409,614,191,1214,50.6,94,2349,20,14.7,84.9,2095,5.5,33.7,80.9,1410,15.9,1,,,,50.6,15.7,33.7,
Marquez, German,608566,2020,25,81.2,73,21.2,7.3,.247,245,3.75,88.8,7.2,4.9,65,643,518,1226,38.5,95.9,2157,15.3,16.9,87.9,2382,4.7,5.3,86.8,1816,16.4,25.4,13.9,,,52.4,42.3,5.3,
Mills, Alec,621219,2020,28,62.1,46,18.3,7.5,.230,187,4.48,86.9,10.1,9.2,144,564,237,945,25.4,89.8,2181,17,10.1,77.5,2584,17,15.2,80.7,1709,15.9,15,34.3,,,59.7,25.1,15.2,
Berrios, Jose,621244,2020,26,63.0,68,25.1,9.6,.238,189,4.00,88.7,14,6.3,207,567,1,1102,26,94.5,2192,18.8,,,,,18.8,84.7,1531,13.5,0.1,25.5,,,51.5,29.8,18.8,
Castillo, Luis,622491,2020,27,70.0,89,30.5,8.2,.233,210,3.21,86,2.2,4.5,346,603,204,1153,27.1,97.4,2181,16.6,17.7,86.8,2484,1.9,30,88.2,1942,16.6,,25.2,,,52.3,17.7,30,
Senzatela, Antonio,622608,2020,25,73.1,41,13.5,5.9,.254,220,3.44,88.3,9.1,5.4,118,635,383,1136,55.9,94.3,2140,12.3,24.8,86.4,2177,5.9,10.4,86.4,2133,12.4,8.9,,,,55.9,33.7,10.4,
Maeda, Kenta,628317,2020,32,66.2,80,32.3,4.0,.168,200,2.70,85.3,10.8,7,289,281,416,986,18.7,91.6,2270,17.3,38.7,82.9,2504,8.6,,,,,3.4,7.1,2.7,29.3,28.5,42.2,29.3,
Civale, Aaron,650644,2020,25,74.0,69,22.1,5.1,.282,222,4.74,87.1,10.4,6.7,110,722,368,1200,2.2,91.2,2346,16.8,9.5,82.3,2709,8.3,9.2,85.3,2028,17.8,21.2,29.3,28.8,,60.2,30.7,9.2,
Lamet, Dinelson,659275,2020,27,69.0,93,34.8,7.5,.161,207,2.09,88.7,16.9,7.3,0,487,559,1046,37.3,97,2496,18.3,53.4,86.5,2614,6.3,,,,,,9.3,,,46.6,53.4,,
Singer, Brady,663903,2020,23,64.1,61,23.2,8.7,.220,193,4.06,88.5,9,4.5,50,620,401,1071,0.7,92.9,2196,15,37.4,83.1,2387,5.6,4.7,87.8,2164,18.8,,57.2,,,57.9,37.4,4.7,
Valdez, Framber,664285,2020,26,70.2,76,26.4,5.6,.240,212,3.57,91.4,-0.8,7.9,102,596,351,1049,2,93.2,2306,10.8,,,,,9.7,88.8,1720,13.5,33.5,54.8,,,56.8,33.5,9.7,
Gallen, Zac,668678,2020,24,72.0,82,28.2,8.6,.210,216,2.75,87,12.4,7.2,212,713,192,1117,39,93.2,2378,18.2,1.1,87.1,2421,7.8,19,84.9,1530,13.9,16.1,0.2,24.6,,63.8,17.2,19,
Bieber, Shane,669456,2020,25,77.1,122,41.1,7.1,.167,232,1.63,89.3,9.6,7.2,105,664,469,1238,37.8,94.1,2356,20.4,11.6,84.5,2551,4.5,8.5,88.7,1665,16.8,26.3,,15.8,,53.6,37.9,8.5,
Wainwright, Adam,425794,2022,40,191.2,143,17.8,6.7,.261,575,3.71,87.8,11,6.5,190,1948,959,3097,9.4,88,2234,15.4,,,,,6.1,82.2,1765,16.6,31,28.1,25.4,,62.9,31,6.1,
Verlander, Justin,434378,2022,39,175.0,185,27.8,4.4,.186,525,1.75,87.8,16.9,6.3,63,1315,1229,2607,50.4,95,2423,21.5,28.3,87.4,2465,6.7,2.4,86.2,1756,19,18.8,,,,50.4,47.1,2.4,
Kluber, Corey,446372,2022,36,164.0,139,20.2,3.0,.274,492,4.34,87.1,18.5,6.9,253,1532,669,2454,1.5,88.9,2271,16,,,,,10.3,82.9,1653,15.5,27.3,26.8,34.2,,62.4,27.3,10.3,
Morton, Charlie,450203,2022,38,172.0,205,28.2,8.7,.233,516,4.34,89.3,13.6,9.5,250,1550,1103,2903,33.3,94.9,2374,16.5,,,,,8.6,87.2,2154,17.8,38,10.8,9.3,,53.4,38,8.6,
Quintana, Jose,500779,2022,33,165.2,137,20.2,6.9,.246,497,2.93,86.5,9.9,5.5,531,1427,766,2724,36,91.2,2077,15.5,,,,,19.5,86.4,1319,13.6,28.1,16.4,,,52.4,28.1,19.5,
Gibson, Kyle,502043,2022,34,167.2,144,20.1,6.7,.268,503,5.05,88.5,10.6,7.5,294,1689,702,2739,11.9,92,2279,17.2,19,83.4,2519,5.2,10.7,84.6,1621,15.4,6.6,28.1,21.7,,61.7,27.6,10.7,
Darvish, Yu,506433,2022,35,194.2,197,25.6,4.8,.207,584,3.10,88.5,17,8.8,221,1141,1151,2970,25.6,95,2416,18.6,31.5,86,2778,6.3,,,,,7.2,8.6,4.3,7.4,38.4,54.1,7.4,
Kelly, Merrill,518876,2022,33,200.1,177,22.0,7.6,.226,601,3.37,88.5,14,8.3,671,1980,420,3071,29.2,92.6,2358,17.5,0.2,85,2416,4.1,21.8,88.6,2160,16.9,13.5,17,18.3,,64.5,13.7,21.8,
Perez, Martin,527048,2022,31,196.1,169,20.6,8.4,.241,589,2.89,88.2,8.1,4.3,823,2011,145,2979,8,92.7,2055,18.3,1.4,84.4,2397,7.3,27.6,84.4,1661,16.9,3.5,35.2,24.3,,67.5,4.9,27.6,
Anderson, Tyler,542881,2022,32,178.2,138,19.5,4.8,.221,536,2.57,85,16.9,4.9,815,1729,32,2576,38,90.7,2231,19.6,,,,,31.6,79,1848,16.2,1.2,7.1,22,,67.1,1.2,31.6,
Cole, Gerrit,543037,2022,31,200.2,257,32.4,6.3,.209,602,3.50,89.4,12.6,9.5,276,1906,1092,3274,51.9,97.8,2428,21.1,22.6,88.7,2569,5.6,8.4,89.7,1616,17.1,10.8,,6.4,,58.2,33.4,8.4,
Lyles, Jordan,543475,2022,31,179.0,144,18.6,6.7,.276,537,4.42,88.6,15.3,10.4,321,1551,400,2988,31.8,91.8,2204,18.1,,,,,10.7,86.4,1465,15.9,13.4,17.5,2.6,,51.9,37.3,10.7,
Mikolas, Miles,571945,2022,33,202.1,153,19.0,4.8,.226,607,3.29,87.8,11,6.9,126,1561,1453,3140,27.4,93.5,2292,15.9,25.4,87.7,2382,6.2,4,82.7,1575,15.5,20.8,22.3,,,49.7,46.3,4,
Gausman, Kevin,592332,2022,31,174.2,205,28.3,3.9,.272,524,3.35,89,12.2,8.1,1025,1358,400,2783,48.8,95,2265,20.5,14.4,84.4,2206,4,1.3,84.5,1497,11.1,,,,35.5,48.8,14.4,36.8,
Ray, Robbie,592662,2022,30,189.0,212,27.4,8.0,.231,567,3.71,89.7,14.7,7.9,21,1834,1192,3047,39.4,93.4,2282,19.4,37.2,87.2,2190,8.1,0.7,86.9,1759,17.2,1.9,20.8,,,60.2,39.1,0.7,
Taillon, Jameson,592791,2022,30,177.1,151,20.7,4.4,.246,532,3.91,88.5,14.5,8.3,237,1622,942,2800,35.7,94.1,2370,18.8,18.8,86.2,2556,7.9,8.4,87.7,1845,17.8,14.8,11.1,11.1,,57.9,33.6,8.4,
Gonzales, Marco,594835,2022,30,183.0,103,13.2,6.4,.271,549,4.13,86.7,14.5,7.2,865,1590,381,2836,36.5,88.4,1986,19.3,,,,,30.5,79.4,2114,18.8,13.4,,19.6,,56.1,13.4,30.5,
Pivetta, Nick,601713,2022,29,179.2,175,22.6,9.4,.253,539,4.56,90.7,15.2,9,70,1572,1440,3082,51,93.4,2310,21.3,19.5,85.8,2317,7.9,2.3,87.1,1170,12.3,27.2,,,,51,46.7,2.3,
Bassitt, Chris,605135,2022,33,181.2,167,22.4,6.6,.234,545,3.42,85.7,10.8,6.6,175,1843,632,2886,13.1,93.2,2191,14.9,8,82.7,2345,7.6,6.1,85.4,1824,17.9,13.9,33.5,17.3,,63.9,30.1,6.1,
Musgrove, Joe,605397,2022,29,181.0,184,24.9,5.7,.227,543,2.93,86.4,11.7,6,179,1423,1232,2834,24,92.9,2559,14.2,24.4,82.9,2715,13.2,6.3,86.5,1974,12.4,19.1,6.8,19.4,,50.2,43.5,6.3,
Nola, Aaron,605400,2022,29,205.0,235,29.1,3.6,.219,615,3.25,87.7,12.5,7.1,448,1785,806,3039,33.4,92.8,2308,20.3,,,,,14.7,85.9,1482,15.9,26.5,18.8,6.5,,58.7,26.5,14.7,
Rodon, Carlos,607074,2022,29,178.0,237,33.4,7.3,.202,534,2.88,89,19.4,6.5,59,1826,1100,2985,61.2,95.5,2349,19.1,31.1,85.4,2447,8.6,2,84.6,1757,17.8,5.7,,,,61.2,36.9,2,
Freeland, Kyle,607536,2022,29,174.2,131,17.1,6.9,.281,524,4.53,89.8,12.7,9.7,393,1288,1158,2839,23.2,90.3,2389,14.8,22.6,85.5,2376,5.1,13.8,84.8,1478,13.3,18.2,22.2,,,45.4,40.8,13.8,
Fried, Max,608331,2022,28,185.1,170,23.2,4.4,.225,556,2.48,86.2,7.6,4,396,1290,1128,2817,32.4,94,2138,12.7,18.5,87.4,2392,4.7,14.1,86.5,1411,13.8,21.5,13.3,,,45.8,40.2,14.1,
