last_name, first_name,player_id,year,player_age,b_ab,b_total_hits,b_home_run,b_bb_percent,batting_avg,on_base_percent,on_base_plus_slg,b_rbi,b_game,r_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Blackmon, Charlie,453568,2023,36,44,15,1,8.0,.341,.420,.897,4,12,6,83.3,17.4,45,5,
Solano, Donovan,456781,2023,35,38,13,0,4.9,.342,.390,.811,3,11,4,90.9,14.9,46.7,3.3,
McCutchen, Andrew,457705,2023,36,34,11,1,21.3,.324,.468,.968,4,12,5,89.4,20.8,41.4,10.3,
Turner, Justin,457759,2023,38,47,12,0,13.8,.255,.379,.698,4,13,7,89.6,11.9,31.7,0,
Andrus, Elvis,462101,2023,34,48,7,0,2.0,.146,.176,.343,4,13,3,88.6,4.1,30,0,
Santana, Carlos,467793,2023,37,48,12,2,11.1,.250,.333,.813,6,13,5,89.4,16.4,44.4,11.1,
Escobar, Eduardo,500871,2023,34,39,4,1,4.7,.103,.140,.345,4,12,3,84.2,15.7,23.3,3.3,
Martinez, J.D.,502110,2023,35,50,14,1,5.4,.280,.321,.881,9,13,8,97.9,18.3,42.4,18.2,
Goldschmidt, Paul,502671,2023,35,48,17,1,16.9,.354,.475,.995,7,13,8,95.6,18.3,38.5,12.8,
Segura, Jean,516416,2023,33,44,8,0,6.4,.182,.234,.416,0,12,2,89.5,-3.9,25,3.1,
Marte, Starling,516782,2023,34,41,11,1,8.7,.268,.348,.762,2,12,5,86.3,12.4,41.7,8.3,
Freeman, Freddie,518692,2023,33,51,17,1,15.0,.333,.433,.904,3,13,12,91.2,11.9,58.1,9.3,
Grandal, Yasmani,518735,2023,34,38,10,1,9.3,.263,.349,.770,5,12,3,85.1,3.5,25.9,3.7,
LeMahieu, DJ,518934,2023,34,38,10,1,9.5,.263,.333,.833,3,10,8,95.3,6,36,12,
Rizzo, Anthony,519203,2023,33,43,14,3,11.5,.326,.423,1.004,8,12,7,94.4,19,47.4,10.5,
Stanton, Giancarlo,519317,2023,33,44,11,3,4.3,.250,.283,.783,8,11,6,95.8,7.7,28.6,20,
Perez, Salvador,521692,2023,33,47,10,2,2.0,.213,.245,.628,6,12,3,88.9,25.4,31.6,10.5,
Ozuna, Marcell,542303,2023,32,36,3,2,12.2,.083,.195,.445,2,11,3,89.4,0.7,21.7,17.4,
Aguilar, Jesus,542583,2023,33,40,10,1,6.7,.250,.289,.639,4,12,2,86.5,20.3,31,0,
Berti, Jon,542932,2023,33,39,9,1,4.9,.231,.268,.576,2,12,5,86.5,5.8,37.9,3.4,
Cron, C.J.,543068,2023,33,44,10,4,4.3,.227,.261,.806,8,11,4,92.6,17,36.7,23.3,
Semien, Marcus,543760,2023,32,52,11,1,1.9,.212,.222,.549,7,12,8,85,17.4,38.1,0,
Springer III, George,543807,2023,33,56,15,2,5.1,.268,.305,.680,6,13,9,84,16.9,22.7,6.8,
Wong, Kolten,543939,2023,32,38,4,0,9.1,.105,.205,.310,3,11,3,83.9,12.5,16.7,0,
Trout, Mike,545361,2023,31,42,11,3,20.0,.262,.436,.960,9,12,10,95.4,14.2,40,13.3,
Abreu, Jose,547989,2023,36,55,16,0,5.1,.291,.339,.666,4,13,2,86.6,7.1,27.5,2.5,
Diaz, Elias,553869,2023,32,38,13,2,9.3,.342,.419,.998,7,13,7,87.5,12.1,24.1,6.9,
Suarez, Eugenio,553993,2023,31,55,17,1,3.4,.309,.328,.746,11,13,5,90.8,15.8,46.2,7.7,
Urshela, Gio,570482,2023,31,44,15,0,4.3,.341,.370,.756,3,11,8,89.2,5.1,35.3,0,
Arenado, Nolan,571448,2023,32,53,17,2,8.5,.321,.373,.845,13,13,6,87.9,16.5,28.9,6.7,
Hernandez, Enrique,571771,2023,31,44,5,2,11.8,.114,.235,.531,6,13,7,86.2,22,26.7,6.7,
Muncy, Max,571970,2023,32,42,9,5,15.7,.214,.353,.924,13,12,10,93.6,22.8,33.3,29.2,
Myers, Wil,571976,2023,32,44,9,0,12.0,.205,.300,.527,4,12,4,89.1,20.8,32.1,3.6,
Taylor, Michael A.,572191,2023,32,47,12,3,0.0,.255,.271,.760,7,13,4,91.5,16.1,39.3,17.9,
Walker, Christian,572233,2023,32,45,8,2,6.1,.178,.224,.558,7,12,3,82,16.7,23.7,5.3,
Yastrzemski, Mike,573262,2023,32,45,11,2,4.3,.244,.277,.743,5,12,8,91.8,16.3,28.6,11.4,
Contreras, Willson,575929,2023,31,41,7,0,10.9,.171,.261,.456,2,12,4,89.4,12.3,33.3,6.1,
Bryant, Kris,592178,2023,31,49,15,0,7.4,.306,.370,.738,3,12,5,84.1,13.8,33.3,0,
Canha, Mark,592192,2023,34,45,9,1,11.1,.200,.315,.670,4,13,6,86.1,20.4,36.4,9.1,
Castellanos, Nick,592206,2023,31,48,14,0,12.7,.292,.382,.840,7,13,11,87.8,4.2,30.8,3.8,
Judge, Aaron,592450,2023,31,47,14,4,12.7,.298,.382,.956,7,13,10,94.5,22.7,41.4,17.2,
Machado, Manny,592518,2023,30,56,14,1,5.0,.250,.283,.640,6,14,6,89,15.9,31,4.8,
Pederson, Joc,592626,2023,31,33,8,2,15.0,.242,.350,.895,9,10,3,97.1,19.2,33.3,23.8,
Realmuto, J.T.,592663,2023,32,44,9,1,2.2,.205,.222,.586,3,11,3,84.7,13.4,37,7.4,
Renfroe, Hunter,592669,2023,31,44,13,3,15.4,.295,.404,.972,9,12,8,88,11.8,23.7,7.9,
Yelich, Christian,592885,2023,31,53,12,1,13.1,.226,.328,.630,4,13,11,90.3,5.4,43.8,3.1,
Merrifield, Whit,593160,2023,34,36,9,0,7.1,.250,.310,.587,5,10,4,84.2,13.2,32.3,3.2,
Bogaerts, Xander,593428,2023,30,53,18,4,12.9,.340,.419,1.042,10,14,10,88.4,9.4,27.1,8.3,
Profar, Jurickson,595777,2023,30,36,8,2,7.3,.222,.268,.685,5,10,4,87,18,20,3.3,
Baez, Javier,595879,2023,30,41,5,0,6.7,.122,.178,.324,1,12,3,86.4,5,15.2,0,
Lindor, Francisco,596019,2023,29,44,10,2,14.5,.227,.364,.818,8,13,8,91.9,13.7,48.1,7.4,
Candelario, Jeimer,600869,2023,29,53,12,2,3.5,.226,.263,.622,6,13,6,89.4,12.2,25,5,
Daza, Yonathan,602074,2023,29,48,14,0,0.0,.292,.286,.661,4,12,5,86.2,16.3,33.3,0,
Urias, Ramon,602104,2023,29,37,9,1,7.0,.243,.349,.754,4,11,6,89.3,9.6,29.2,8.3,
