title,character,character_alias,actor
Captain America: The First Avenger,Steve Rogers,Captain America,Chris Evans
Captain America: The First Avenger,Peggy Carter,,Hayley Atwell
Captain America: The First Avenger,Bucky Barnes,Winter Soldier,Sebastian Stan
Captain America: The First Avenger,Colonel Chester Phillips,,Tommy Lee Jones
Captain America: The First Avenger,Johann Schmidt,Red Skull,Hugo Weaving
Captain America: The First Avenger,Howard Stark,,Dominic Cooper
Captain America: The First Avenger,Heinz Kruger,,Richard Armitage
Captain America: The First Avenger,Nick Fury,Director Fury,Samuel L. Jackson
Captain America: The First Avenger,Dr. Arnim Zola,,Toby Jones
Captain America: The First Avenger,Timothy 'Dum Dum' Dugan,,Neal McDonough
Captain America: The First Avenger,Jim Morita,,Kenneth Choi
Marvel One-Shot: Agent Carter,Peggy Carter,,Hayley Atwell
Marvel One-Shot: Agent Carter,Agent Flynn,,Bradley Whitford
Marvel One-Shot: Agent Carter,Howard Stark,,Dominic Cooper
Marvel One-Shot: Agent Carter,Timothy 'Dum Dum' Dugan,,Neal McDonough
Agent Carter,Peggy Carter,,Hayley Atwell
Agent Carter,Edwin Jarvis,,James D'Arcy
Agent Carter,Daniel Sousa,,Enver Gjokaj
Agent Carter,Jack Thompson,,Chad Michael Murray
Agent Carter,Whitney Frost,,Wynn Everett
Agent Carter,Jason Wilkes,,Reggie Austin
Agent Carter,Dottie Underwood,,Bridget Regan
Agent Carter,Roger Dooley,,Shea Whigham
Agent Carter,Calvin Chadwick,,Currie Graham
Agent Carter,Ana Jarvis,,Lotte Verbeek
Agent Carter,Vernon Masters,,Kurtwood Smith
Agent Carter,Howard Stark,,Dominic Cooper
Agent Carter,Joseph Manfredi,,Ken Marino
Agent Carter,Agent Vega,,Rey Valentin
Agent Carter,Dr. Ivchenko,,Ralph Brown
Agent Carter,Hugh Jones,,Ray Wise
Agent Carter,Rufus,,Chris Browning
Agent Carter,Hank,,Chris Coppola
Agent Carter,Agent Ford,,Brian Glanney
Agent Carter,Carol,,Benita Robledo
Agent Carter,Agent Fisher,,Kevin Ashworth
Agent Carter,Agent Blackwell,,Russell Edge
Agent Carter,Timothy 'Dum Dum' Dugan,,Neal McDonough
Agent Carter,Happy Sam Sawyer,,Leonard Roberts
Agent Carter,Dr. Arnim Zola,,Toby Jones
Agent Carter,Detective Andrew Henry,,Sean O'Bryan
Captain Marvel,Carol Danvers,Captain Marvel,Brie Larson
Captain Marvel,Nick Fury,,Samuel L. Jackson
Captain Marvel,Talos,Keller,Ben Mendelsohn
Captain Marvel,Yon-Rogg,,Jude Law
Captain Marvel,Supreme Intelligence,Dr. Wendy Lawson,Annette Bening
Captain Marvel,Korath,,Djimon Hounsou
Captain Marvel,Ronan,,Lee Pace
Captain Marvel,Maria Rambeau,,Lashana Lynch
Captain Marvel,Minn-Erva,,Gemma Chan
Captain Marvel,Agent Coulson,,Clark Gregg
Captain Marvel,Monica Rambeau,,Akira Akbar
Iron Man,Tony Stark,Iron Man,Robert Downey Jr.
Iron Man,James Rhodes,War Machine,Terrence Howard
Iron Man,Obadiah Stane,Iron monger/Obi,Jeff Bridges
Iron Man,Pepper Potts,,Gwyneth Paltrow
Iron Man,Christine Everhart,Ms. Brown,Leslie Bibb
Iron Man,Yinsen,,Shaun Toub
Iron Man,Raza,,Faran Tahir
Iron Man,Agent Coulson,Phil Coulson,Clark Gregg
Iron Man,Abu Bakaar,,Sayed Badreya
Iron Man,JARVIS,,Paul Bettany
Iron Man,Happy Hogan,,Jon Favreau
Iron Man,William Ginter Riva,,Peter Billingsley
Iron Man,Major Allen,,Tim Guinee
Iron Man 2,Tony Stark,,Robert Downey Jr.
Iron Man 2,Pepper Potts,,Gwyneth Paltrow
Iron Man 2,James Rhodes,War machine,Don Cheadle
Iron Man 2,Natasha Romanoff,Black Widow,Scarlett Johansson
Iron Man 2,Justin Hammer,,Sam Rockwell
Iron Man 2,Ivan Vanko,Whiplash,Mickey Rourke
Iron Man 2,Nick Fury,Director Fury,Samuel L. Jackson
Iron Man 2,Agent Coulson,Phil Coulson,Clark Gregg
Iron Man 2,Howard Stark,,John Slattery
Iron Man 2,Senator Stern,,Garry Shandling
Iron Man 2,JARVIS,,Paul Bettany
Iron Man 2,Christine Everhart,Ms. Brown,Leslie Bibb
Iron Man 2,Happy Hogan,,Jon Favreau
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Agent Coulson,,Clark Gregg
Thor,Thor,God of Thunder,Chris Hemsworth
Thor,Jane Foster,,Natalie Portman
Thor,Loki,God of Mischief,Tom Hiddleston
Thor,Odin,God of war,Anthony Hopkins
Thor,Erik Selvig,,Stellan Skarsgård
Thor,Darcy Lewis,,Kat Dennings
Thor,Agent Coulson,Phil Coulson,Clark Gregg
Thor,King Laufey,,Colm Feore
Thor,Heimdall,,Idris Elba
Thor,Volstagg,,Ray Stevenson
Thor,Hogun,Hogun the grim,Tadanobu Asano
Thor,Fandral,,Josh Dallas
Thor,Sif,Lady Sif,Jaimie Alexander
Thor,Frigga,Queen Frigga,Rene Russo
Thor,Agent Sitwell,,Maximiliano Hernández
The Incredible Hulk,Bruce Banner,The Hulk,Edward Norton
The Incredible Hulk,Betty Ross,,Liv Tyler
The Incredible Hulk,Emil Blonsky,,Tim Roth
The Incredible Hulk,Secretary Ross,,William Hurt
The Incredible Hulk,Samuel Sterns,,Tim Blake Nelson
Marvel One-Shot: The Consultant,Agent Coulson,,Clark Gregg
Marvel One-Shot: The Consultant,Agent Sitwell,,Maximiliano Hernández
Marvel One-Shot: The Consultant,Night Waitress,,Deborah Knox
The Avengers,Tony Stark,Iron Man,Robert Downey Jr.
The Avengers,Steve Rogers,Captain America,Chris Evans
The Avengers,Bruce Banner,The Hulk,Mark Ruffalo
The Avengers,God of Thunder,Hammer,Chris Hemsworth
The Avengers,Natasha Romanoff,Black Widow,Scarlett Johansson
The Avengers,Clint Barton,Hawkeye,Jeremy Renner
The Avengers,Loki,God of mischief,Tom Hiddleston
The Avengers,Agent Coulson,Phil Coulson,Clark Gregg
The Avengers,Maria Hill,,Cobie Smulders
The Avengers,Erik Selvig,,Stellan SkarsgårdFF
The Avengers,Nick Fury,Director Fury,Samuel L. Jackson
The Avengers,Pepper Potts,,Gwyneth Paltrow
The Avengers,JARVIS,,Paul Bettany
The Avengers,Pat Kiernan,,Pat Kiernan
The Avengers,Thomas Roberts,,Thomas Roberts
Marvel One-Shot: Item 47,Claire Weiss,,Lizzy Caplan
Marvel One-Shot: Item 47,Bennie Pollock,,Jesse Bradford
Marvel One-Shot: Item 47,Agent Sitwell,,Maximiliano Hernández
Marvel One-Shot: Item 47,Agent Blake,,Titus Welliver
Iron Man 3,Tony Stark,Iron Man,Robert Downey Jr.
Iron Man 3,Pepper Potts,,Gwyneth Paltrow
Iron Man 3,James Rhodes,War Machine,Don Cheadle
Iron Man 3,Aldrich Killian,Mandarin,Guy Pearce
Iron Man 3,Maya Hansen,,Rebecca Hall
Iron Man 3,Happy Hogan,,Jon Favreau
Iron Man 3,Trevor Slattery,,Ben Kingsley
Iron Man 3,Savin,,James Badge Dale
Iron Man 3,Brandt,,Stephanie Szostak
Iron Man 3,JARVIS,,Paul Bettany
Iron Man 3,President Ellis,,William Sadler
Iron Man 3,Mrs. Davis,,Dale Dickey
Iron Man 3,Harley Keener,,Ty Simpkins
Iron Man 3,Pat Kiernan,,Pat Kiernan
Iron Man 3,Thomas Roberts,,Thomas Roberts
Marvel One-Shot: All Hail the King,Trevor Slattery,,Ben Kingsley
Marvel One-Shot: All Hail the King,Jackson Norris,,Scoot McNairy
Marvel One-Shot: All Hail the King,Herman,,Lester Speight
Marvel One-Shot: All Hail the King,Justin Hammer,,Sam Rockwell
Marvel One-Shot: All Hail the King,White Power Dave,,Matt Gerald
Marvel One-Shot: All Hail the King,Fletcher Heggs,,Allen Maldonado
Agents of S.H.I.E.L.D.,Agent Coulson,Phil Coulson,Clark Gregg
Agents of S.H.I.E.L.D.,Melinda May,,Ming-Na Wen
Agents of S.H.I.E.L.D.,Daisy 'Skye' Johnson,,Chloe Bennet
Agents of S.H.I.E.L.D.,Jemma Simmons,,Elizabeth Henstridge
Agents of S.H.I.E.L.D.,Leo Fitz,,Iain De Caestecker
Agents of S.H.I.E.L.D.,Alphonso 'Mack' Mackenzie,,Henry Simmons
Agents of S.H.I.E.L.D.,Grant Ward,,Brett Dalton
Agents of S.H.I.E.L.D.,Elena 'Yo-Yo' Rodriguez,,Natalia Cordova-Buckley
Agents of S.H.I.E.L.D.,Deke Shaw,,Jeff Ward
Agents of S.H.I.E.L.D.,Lance Hunter,,Nick Blood
Agents of S.H.I.E.L.D.,Bobbi Morse,,Adrianne Palicki
Agents of S.H.I.E.L.D.,Lincoln Campbell,,Luke Mitchell
Agents of S.H.I.E.L.D.,Holden Radcliffe,,John Hannah
Agents of S.H.I.E.L.D.,Agent Davis,,Maximilian Osinski
Agents of S.H.I.E.L.D.,Enoch,,Joel Stoffer
Agents of S.H.I.E.L.D.,Glenn Talbot,,Adrian Pasdar
Agents of S.H.I.E.L.D.,Antoine Triplett,,B.J. Britt
Agents of S.H.I.E.L.D.,Agent Piper,,Briana Venskus
Agents of S.H.I.E.L.D.,Aida,,Mallory Jansen
Agents of S.H.I.E.L.D.,Raina,,Ruth Negga
Agents of S.H.I.E.L.D.,Jeffrey Mace,,Jason O'Mara
Agents of S.H.I.E.L.D.,Calvin Zabo,,Kyle MacLachlan
Agents of S.H.I.E.L.D.,Mike Peterson,Deathlok,J. August Richards
Agents of S.H.I.E.L.D.,Sunil Bakshi,,Simon Kassianides
Agents of S.H.I.E.L.D.,Gideon Malick,,Powers Boothe
Agents of S.H.I.E.L.D.,Jiaying,,Dichen Lachman
Agents of S.H.I.E.L.D.,Gordon,,Jamie Harris
Agents of S.H.I.E.L.D.,Giyera,,Mark Dacascos
Agents of S.H.I.E.L.D.,General Hale,,Catherine Dent
Agents of S.H.I.E.L.D.,Daniel Sousa,,Enver Gjokaj
Agents of S.H.I.E.L.D.,Andrew Garner,,Blair Underwood
Agents of S.H.I.E.L.D.,Ghost Rider,,Gabriel Luna
Agents of S.H.I.E.L.D.,Anton Ivanov,,Zach McGowan
Agents of S.H.I.E.L.D.,Daniel Whitehall,,Reed Diamond
Agents of S.H.I.E.L.D.,Carl Creel,,Brian Patrick Wade
Agents of S.H.I.E.L.D.,Flint,,Coy Stewart
Agents of S.H.I.E.L.D.,Agent Weaver,,Christine Adams
Agents of S.H.I.E.L.D.,Nathaniel Malick,,Thomas E. Sullivan
Agents of S.H.I.E.L.D.,Kasius,,Dominic Rains
Agents of S.H.I.E.L.D.,Ian Quinn,,David Conrad
Agents of S.H.I.E.L.D.,Sinara,,Florence Faivre
Agents of S.H.I.E.L.D.,Agent Sitwell,,Maximiliano Hernández
Agents of S.H.I.E.L.D.,Maria Hill,,Cobie Smulders
Agents of S.H.I.E.L.D.,Sif,Lady Sif,Jaimie Alexander
Agents of S.H.I.E.L.D.,Peggy Carter,,Hayley Atwell
Agents of S.H.I.E.L.D.,Nick Fury,Director Fury,Samuel L. Jackson
Agents of S.H.I.E.L.D.,Timothy 'Dum Dum' Dugan,,Neal McDonough
Thor: The Dark World,God of Thunder,Hammer,Chris Hemsworth
Thor: The Dark World,Jane Foster,,Natalie Portman
Thor: The Dark World,Loki,God of mischief,Tom Hiddleston
Thor: The Dark World,Odin,God of war,Anthony Hopkins
Thor: The Dark World,Malekith,,Christopher Eccleston
Thor: The Dark World,Sif,Lady Sif,Jaimie Alexander
Thor: The Dark World,Fandral,,Zachary Levi
Thor: The Dark World,Volstagg,,Ray Stevenson
Thor: The Dark World,Hogun,Hogun the grim,Tadanobu Asano
Thor: The Dark World,Heimdall,,Idris Elba
Thor: The Dark World,Frigga,Queen Frigga,Rene Russo
Thor: The Dark World,Algrim,Kurse,Adewale Akinnuoye-Agbaje
Thor: The Dark World,Darcy Lewis,,Kat Dennings
Thor: The Dark World,Erik Selvig,,Stellan Skarsgård
Captain America: The Winter Soldier,Steve Rogers,Captain America,Chris Evans
