title,character,character_alias,actor
Captain America: The First Avenger,Steve Rogers,Captain America,Chris Evans
Captain America: The First Avenger,Peggy Carter,,Hayley Atwell
Captain America: The First Avenger,Bucky Barnes,Winter Soldier,Sebastian Stan
Captain America: The First Avenger,Colonel Chester Phillips,,Tommy Lee Jones
Captain America: The First Avenger,Johann Schmidt,Red Skull,Hugo Weaving
Captain America: The First Avenger,Howard Stark,,Dominic Cooper
Captain America: The First Avenger,Heinz Kruger,,Richard Armitage
Captain America: The First Avenger,Dr. Abraham Erskine,,Stanley Tucci
Captain America: The First Avenger,Nick Fury,Director Fury,Samuel L. Jackson
Captain America: The First Avenger,Dr. Arnim Zola,,Toby Jones
Captain America: The First Avenger,Timothy 'Dum Dum' Dugan,,Neal McDonough
Captain America: The First Avenger,Gabe Jones,,Derek Luke
Captain America: The First Avenger,Jim Morita,,Kenneth Choi
Captain America: The First Avenger,James Montgomery Falsworth,,JJ Feild
Captain America: The First Avenger,Jacques Dernier,,Bruno Ricci
Captain America: The First Avenger,Gilmore Hodge,,Lex Shrapnel
Captain America: The First Avenger,Senator Brandt,,Michael Brandon
Marvel One-Shot: Agent Carter,Peggy Carter,,Hayley Atwell
Marvel One-Shot: Agent Carter,Agent Flynn,,Bradley Whitford
Marvel One-Shot: Agent Carter,Howard Stark,,Dominic Cooper
Marvel One-Shot: Agent Carter,Timothy 'Dum Dum' Dugan,,Neal McDonough
Agent Carter,Peggy Carter,,Hayley Atwell
Agent Carter,Edwin Jarvis,,James D'Arcy
Agent Carter,Daniel Sousa,,Enver Gjokaj
Agent Carter,Jack Thompson,,Chad Michael Murray
Agent Carter,Whitney Frost,,Wynn Everett
Agent Carter,Jason Wilkes,,Reggie Austin
Agent Carter,Dottie Underwood,,Bridget Regan
Agent Carter,Rose,,Lesley Boone
Agent Carter,Roger Dooley,,Shea Whigham
Agent Carter,Angie Martinelli,,Lyndsy Fonseca
Agent Carter,Calvin Chadwick,,Currie Graham
Agent Carter,Ana Jarvis,,Lotte Verbeek
Agent Carter,Vernon Masters,,Kurtwood Smith
Agent Carter,Howard Stark,,Dominic Cooper
Agent Carter,Dr. Samberly,,Matt Braunger
Agent Carter,Joseph Manfredi,,Ken Marino
Agent Carter,Agent Vega,,Rey Valentin
Agent Carter,Agent Yauch,,Alexander Carroll
Agent Carter,Dr. Ivchenko,,Ralph Brown
Agent Carter,Hugh Jones,,Ray Wise
Agent Carter,Miriam Fry,,Meagen Fay
Agent Carter,Ray Krzeminski,,Kyle Bornheimer
Agent Carter,Rufus,,Chris Browning
Agent Carter,Violet,,Sarah Bolger
Agent Carter,Dr. Chung,,Tom Choi
Agent Carter,Leet Brannis,,James Frain
Agent Carter,Michael Carter,,Max Brown
Agent Carter,Sasha Demidov,,James Landry Hébert
Agent Carter,Thomas Gloucester,,Casey Sander
Agent Carter,Nonna Manfredi,,Tina D'Marco
Agent Carter,Sheldon McFee,,Devin Ratray
Agent Carter,Miles Van Ert,,James Urbaniak
Agent Carter,Agent Ryan,,Christopher Allen
Agent Carter,Director Kenneth,,Randy Sklar
Agent Carter,Agent Butch Wallace,,Patrick Robert Smith
Agent Carter,Alex Doobin,,Kevin Cotteleer
Agent Carter,Betty Carver (Radio Actor),,Erin Torpey
Agent Carter,Agent Ford,,Brian Glanney
Agent Carter,Agent Fisher,,Kevin Ashworth
Agent Carter,Agent Blackwell,,Russell Edge
Agent Carter,Timothy 'Dum Dum' Dugan,,Neal McDonough
Agent Carter,Happy Sam Sawyer,,Leonard Roberts
Agent Carter,Detective Prendergast,,Glenn Taranto
Agent Carter,Loretta Dooley,,Sarah Bloom
Agent Carter,Wilma Cully,,Samaire Armstrong
Agent Carter,Colonel Ernst Mueller,,Jack Conley
Agent Carter,Ovechkin,,Pawel Szajda
Agent Carter,Dr. Seth Honicky,,Rick Peters
Agent Carter,Agent Rick Ramirez,,Greg Serano
Agent Carter,Walt Cooper,,John Prosky
Agent Carter,Uncle Bud,,Chris Mulkey
Agent Carter,Torrance,,John Balma
Agent Carter,Dr. Arnim Zola,,Toby Jones
Agent Carter,Colleen O'Brien,,Ashley Hinshaw
Agent Carter,Otto Mink,,Gregory Sporleder
Agent Carter,Agent Mike Li,,Eddie Shin
Agent Carter,Detective Andrew Henry,,Sean O'Bryan
Agent Carter,Mr. Edwards,,Christopher Grove
Agent Carter,Frank,,John Bishop
Agent Carter,Nikola,,Alex Veadov
Agent Carter,Officer Pike,,DaJuan Johnson
Agent Carter,Albert,,Steven Hack
Captain Marvel,Carol Danvers,Captain Marvel,Brie Larson
Captain Marvel,Nick Fury,,Samuel L. Jackson
Captain Marvel,Talos,Keller,Ben Mendelsohn
Captain Marvel,Yon-Rogg,,Jude Law
Captain Marvel,Supreme Intelligence,Dr. Wendy Lawson,Annette Bening
Captain Marvel,Korath,,Djimon Hounsou
Captain Marvel,Ronan,,Lee Pace
Captain Marvel,Maria Rambeau,,Lashana Lynch
Captain Marvel,Minn-Erva,,Gemma Chan
Captain Marvel,Agent Coulson,,Clark Gregg
Captain Marvel,Bron-Char,,Rune Temte
Captain Marvel,Att-Lass,,Algenis Perez Soto
Captain Marvel,Monica Rambeau,,Akira Akbar
Captain Marvel,Norex,,Matthew Maher
Captain Marvel,Soh-Larr,,Chuku Modu
Captain Marvel,Hero Torfan,,Vik Sahay
Captain Marvel,Steve Danvers,,Colin Ford
Captain Marvel,Joseph Danvers,,Kenneth Mitchell
Captain Marvel,Bret Johnson,,Pete Ploszek
Captain Marvel,Spider,,Matthew 'Spider' Kimmel
Captain Marvel,Cajun,,Stephen 'Cajun' Del Bagno
Iron Man,Tony Stark,Iron Man,Robert Downey Jr.
Iron Man,James Rhodes,War Machine,Terrence Howard
Iron Man,Obadiah Stane,Iron monger/Obi,Jeff Bridges
Iron Man,Pepper Potts,,Gwyneth Paltrow
Iron Man,Christine Everhart,Ms. Brown,Leslie Bibb
Iron Man,Yinsen,,Shaun Toub
Iron Man,Raza,,Faran Tahir
Iron Man,Agent Coulson,Phil Coulson,Clark Gregg
Iron Man,General Gabriel,,Bill Smitrovich
Iron Man,Abu Bakaar,,Sayed Badreya
Iron Man,JARVIS,,Paul Bettany
Iron Man,Happy Hogan,,Jon Favreau
Iron Man,William Ginter Riva,,Peter Billingsley
Iron Man,Major Allen,,Tim Guinee
Iron Man 2,Tony Stark,,Robert Downey Jr.
Iron Man 2,Pepper Potts,,Gwyneth Paltrow
Iron Man 2,James Rhodes,War machine,Don Cheadle
Iron Man 2,Natasha Romanoff,Black Widow,Scarlett Johansson
Iron Man 2,Justin Hammer,,Sam Rockwell
Iron Man 2,Ivan Vanko,Whiplash,Mickey Rourke
Iron Man 2,Nick Fury,Director Fury,Samuel L. Jackson
Iron Man 2,Agent Coulson,Phil Coulson,Clark Gregg
Iron Man 2,Howard Stark,,John Slattery
Iron Man 2,Senator Stern,,Garry Shandling
Iron Man 2,JARVIS,,Paul Bettany
Iron Man 2,Christine Everhart,Ms. Brown,Leslie Bibb
Iron Man 2,Happy Hogan,,Jon Favreau
Iron Man 2,Christiane Amanpour,,Christiane Amanpour
Iron Man 2,Detective Lemieux,,Philippe Bergeron
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Agent Coulson,,Clark Gregg
Thor,Thor,God of Thunder,Chris Hemsworth
Thor,Jane Foster,,Natalie Portman
Thor,Loki,God of Mischief,Tom Hiddleston
Thor,Odin,God of war,Anthony Hopkins
Thor,Erik Selvig,,Stellan Skarsgård
Thor,Darcy Lewis,,Kat Dennings
Thor,Agent Coulson,Phil Coulson,Clark Gregg
Thor,King Laufey,,Colm Feore
Thor,Heimdall,,Idris Elba
Thor,Volstagg,,Ray Stevenson
Thor,Hogun,Hogun the grim,Tadanobu Asano
Thor,Fandral,,Josh Dallas
Thor,Sif,Lady Sif,Jaimie Alexander
Thor,Frigga,Queen Frigga,Rene Russo
Thor,Isabela Alvarez,,Adriana Barraza
Thor,Agent Sitwell,,Maximiliano Hernández
Thor,Agent Delancey,,Buddy Sosthand
Thor,Agent Jackson,,Jamie McShane
Thor,Agent Garrett,,Dale Godboldo
Thor,Agent Cale,,Patrick O'Brien Demsey
The Incredible Hulk,Bruce Banner,The Hulk,Edward Norton
The Incredible Hulk,Betty Ross,,Liv Tyler
The Incredible Hulk,Emil Blonsky,,Tim Roth
The Incredible Hulk,Secretary Ross,,William Hurt
The Incredible Hulk,Samuel Sterns,,Tim Blake Nelson
The Incredible Hulk,Leonard,,Ty Burrell
The Incredible Hulk,Major Kathleen Sparr,,Christina Cabot
The Incredible Hulk,General Joe Greller,,Peter Mensah
The Incredible Hulk,Stanley,,Paul Soles
The Incredible Hulk,Martina,,Débora Nascimento
Marvel One-Shot: The Consultant,Agent Coulson,,Clark Gregg
Marvel One-Shot: The Consultant,Agent Sitwell,,Maximiliano Hernández
The Avengers,Tony Stark,Iron Man,Robert Downey Jr.
The Avengers,Steve Rogers,Captain America,Chris Evans
The Avengers,Bruce Banner,The Hulk,Mark Ruffalo
The Avengers,Thor,God of Thunder,Chris Hemsworth
The Avengers,Natasha Romanoff,Black Widow,Scarlett Johansson
The Avengers,Clint Barton,Hawkeye,Jeremy Renner
The Avengers,Loki,God of mischief,Tom Hiddleston
The Avengers,Agent Coulson,Phil Coulson,Clark Gregg
The Avengers,Maria Hill,,Cobie Smulders
The Avengers,Selvig,,Stellan Skarsgård
The Avengers,Nick Fury,Director Fury,Samuel L. Jackson
The Avengers,Pepper Potts,,Gwyneth Paltrow
The Avengers,JARVIS,,Paul Bettany
The Avengers,The Other,,Alexis Denisof
The Avengers,Shawna Lynde,,Romy Rosemont
The Avengers,Senator Boynton,,James Eckhouse
The Avengers,Stan Lee,,Stan Lee
The Avengers,Pat Kiernan,,Pat Kiernan
The Avengers,Thomas Roberts,,Thomas Roberts
Marvel One-Shot: Item 47,Claire Weiss,,Lizzy Caplan
Marvel One-Shot: Item 47,Bennie Pollock,,Jesse Bradford
Marvel One-Shot: Item 47,Agent Jasper Sitwell,,Maximiliano Hernández
Marvel One-Shot: Item 47,Agent Blake,,Titus Welliver
Iron Man 3,Tony Stark,Iron Man,Robert Downey Jr.
Iron Man 3,Pepper Potts,,Gwyneth Paltrow
Iron Man 3,James Rhodes,War Machine,Don Cheadle
Iron Man 3,Aldrich Killian,Mandarin,Guy Pearce
Iron Man 3,Maya Hansen,,Rebecca Hall
Iron Man 3,Happy Hogan,,Jon Favreau
Iron Man 3,Trevor Slattery,,Ben Kingsley
Iron Man 3,Savin,,James Badge Dale
Iron Man 3,Brandt,,Stephanie Szostak
Iron Man 3,JARVIS,,Paul Bettany
Iron Man 3,President Ellis,,William Sadler
Iron Man 3,Mrs. Davis,,Dale Dickey
Iron Man 3,Harley Keener,,Ty Simpkins
Iron Man 3,Vice President Rodriguez,,Miguel Ferrer
Iron Man 3,Doctor Wu,,Xueqi Wang
Iron Man 3,Ho Yinsen,,Shaun Toub
Iron Man 3,Pat Kiernan,,Pat Kiernan
Iron Man 3,Josh Elliott,,Josh Elliott
Iron Man 3,Megan Henderson,,Megan Henderson
Iron Man 3,Thomas Roberts,,Thomas Roberts
Iron Man 3,Bill Maher,,Bill Maher
Iron Man 3,Joan Rivers,,Joan Rivers
Iron Man 3,George Kotsiopoulos,,George Kotsiopoulos
Marvel One-Shot: All Hail the King,Trevor Slattery,,Ben Kingsley
Marvel One-Shot: All Hail the King,Jackson Norris,,Scoot McNairy
Marvel One-Shot: All Hail the King,Herman,,Lester Speight
Marvel One-Shot: All Hail the King,Justin Hammer,,Sam Rockwell
Marvel One-Shot: All Hail the King,White Power Dave,,Matt Gerald
Marvel One-Shot: All Hail the King,Fletcher Heggs,,Allen Maldonado
Marvel One-Shot: All Hail the King,Bar Monkey,,Crystal the Monkey
Agents of S.H.I.E.L.D.,Agent Coulson,Phil Coulson,Clark Gregg
Agents of S.H.I.E.L.D.,Melinda May,,Ming-Na Wen
Agents of S.H.I.E.L.D.,Daisy 'Skye' Johnson,,Chloe Bennet
Agents of S.H.I.E.L.D.,Jemma Simmons,,Elizabeth Henstridge
